Category,Name,Color,Price,Image URLs,Description,Product URL,Unique Name
shoes,Manchester,: TAN/GUM SUEDE,$79.95,"https://www.lakai.com/cdn/shop/files/Manchester_Tan_Gum_Suede_Main_Spring2025_Lakai.jpg?v=1743759868&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Tan_Gum_Suede_Side_Spring2025_Lakai.jpg?v=1743759881&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Tan_Gum_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743759890&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Tan_Gum_Top_UpperMedial_Spring2025_Lakai.jpg?v=1743759902&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Tan_Gum_Suede_Sole_Spring2025_Lakai.jpg?v=1743759934&width=1000","The Manchester continues to be the people's choice since we first introduced this shoe in 2007. Simple Ingredients - A clean toe, basic panels and classic vulcanized construction combined with the Lakai flare are all that's needed to create of skateboarding's most iconic shoes.",https://www.lakai.com/products/manchester-tan-gum-suede-ms1250200a00,manchester-tan-gum-suede-ms1250200a00
shoes,Manchester,: WHITE CANVAS PRINT,$79.95,"https://www.lakai.com/cdn/shop/files/Manchester_Canvas_Print_Main_Spring2025_Lakai.jpg?v=1743760011&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Canvas_Print_Side_Spring2025_Lakai.jpg?v=1743760023&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Canvas_Print_UpperMedial_Spring2025_Lakai.jpg?v=1743760035&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Canvas_Print_Top_Spring2025_Lakai.jpg?v=1743760050&width=1000, https://www.lakai.com/cdn/shop/files/Manchester_Canvas_Print_Sole_Spring2025_Lakai.jpg?v=1743760062&width=1000","The Manchester continues to be the people's choice since we first introduced this shoe in 2007. Simple Ingredients - A clean toe, basic panels and classic vulcanized construction combined with the Lakai flare are all that's needed to create of skateboarding's most iconic shoes. This shoe is part of an iconic collab with artist Jay Howell.",https://www.lakai.com/products/manchester-white-canvas-print-ms1250200a00,manchester-white-canvas-print-ms1250200a00
shoes,Newport,: BLACK SUEDE,$74.95,"https://www.lakai.com/cdn/shop/files/Newport_Black_Suede_Main_Spring2025_Lakai.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Black_Suede_Side_Spring2025_Lakai.jpg?v=1743824655&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Black_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743824679&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Black_Suede_Top_Spring2025_Lakai.jpg?v=1743824690&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Black_Suede_Sole_Spring2025_Lakai.jpg?v=1743824706&width=1000, https://www.lakai.com/cdn/shop/products/NEWPORT_BLACK-SUEDE_MS1240251A00_BLKSD_02.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/products/NEWPORT_BLACK-SUEDE_MS1240251A00_BLKSD_03.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Q124D2images073.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_013_film_grain.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_014_film_grain.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_024_film_grain.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_025_film_grain.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_015_film_grain.jpg?v=1743824636&width=1000, https://www.lakai.com/cdn/shop/files/Newport_016_film_grain.jpg?v=1743824636&width=1000","The Newport blends high-performance with a minimal look. The upper has refined bold branding, breathable tongue, with a blend of durable suede and leather materials. Our new PARA-MOUNT™ outsole technology consists of dual density rubber that provides cushioning that challenges a cupsole. The Hex-tread pattern is designed for maximum board feel. Each Hex pod moves independently which gives 360 degrees of flexibility. The new premium foam DELUX-LITE™ sockliner is designed with a deep heel cup for stability and contoured arch for comfort.",https://www.lakai.com/products/newport-black-suede-ms1240251a00,newport-black-suede-ms1240251a00
shoes,Newport,: LIGHT YELLOW SUEDE,$74.95,"https://www.lakai.com/cdn/shop/files/Newport_Light_Yellow_Suede_Main_Spring2025_Lakai.jpg?v=1743824950&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Light_Yellow_Suede_Side_Spring2025_Lakai.jpg?v=1743824966&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Light_Yellow_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743824978&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Light_Yellow_Suede_Top_Spring2025_Lakai.jpg?v=1743824995&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Light_Yellow_Suede_Sole_Spring2025_Lakai.jpg?v=1743825042&width=1000","The Newport blends high-performance with a minimal look. The upper has refined bold branding, breathable tongue, with a blend of durable suede and leather materials. Our new PARA-MOUNT™ outsole technology consists of dual density rubber that provides cushioning that challenges a cupsole. The Hex-tread pattern is designed for maximum board feel. Each Hex pod moves independently which gives 360 degrees of flexibility. The new premium foam DELUX-LITE™ sockliner is designed with a deep heel cup for stability and contoured arch for comfort.",https://www.lakai.com/products/newport-light-yellow-suede-ms1250251a00,newport-light-yellow-suede-ms1250251a00
shoes,Newport HI,: BLACK SUEDE,$79.95,"https://www.lakai.com/cdn/shop/files/Newport_Hi_Black_Suede_Main_Spring2025_Lakai.jpg?v=1743824765&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Hi_Black_Suede_Side_Spring2025_Lakai.jpg?v=1743824787&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Hi_Black_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743824802&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Hi_Black_Suede_Top_Spring2025_Lakai.jpg?v=1743824819&width=1000, https://www.lakai.com/cdn/shop/files/Newport_Hi_Black_Suede_Sole_Spring2025_Lakai.jpg?v=1743824828&width=1000","Designed to be simple but loaded with performance. Built with the same comfort and support as the Bristol. The upper has refined bold branding, breathable tongue, with a blend of durable suede and leather materials. Our new PARA-MOUNT™ outsole technology consists of dual density rubber that provides cushioning that challenges a cupsole. The Hex-tread pattern is designed for maximum board feel. Each Hex pod moves independently which gives 360 degrees of flexibility. The new premium foam DELUX-LITE™ sockliner is designed with a deep heel cup for stability and contoured arch for comfort. This shoe is part of our iconic collaboration with artist Jay Howell.",https://www.lakai.com/products/newport-hi-black-suede-ms1250253a00,newport-hi-black-suede-ms1250253a00
shoes,Owen VLK,: BLACK SUEDE,$74.95,"https://www.lakai.com/cdn/shop/files/Owen_VLK_Black_Suede_Main_Spring2025_Lakai.jpg?v=1743825150&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Black_Suede_Side_Spring2025_Lakai.jpg?v=1743825163&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Black_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743825176&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Black_Suede_Top_Spring2025_Lakai.jpg?v=1743825188&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Black_Suede_Sole_Spring2025_Lakai.jpg?v=1743825205&width=1000","The Owen sets out to be the most skate-friendly slip-on in the business, but easily transcends strictly skateboarding. The defining feature of the updated OWEN is our VLK performance sole. A classic take on modern vulcanization. The ultra-fitted, all suede upper is ideal for the rigors of every day use and the crafted midsole with lux-lite insole provide extreme cushion and comfort. Details include striped, nylon webbed hit at tongue and heel, cover stitched/perfed toe panel highlight and 3-D printed flare at rear heel. Slip into satisfaction!",https://www.lakai.com/products/owen-vlk-black-suede-ms1170232a00,owen-vlk-black-suede-ms1170232a00
shoes,Owen VLK,: LIGHT GREY SUEDE,$74.95,"https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_Main_Spring2025_Lakai.jpg?v=1743825451&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_Side_Spring2025_Lakai.jpg?v=1743825463&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743825475&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_Top_Spring2025_Lakai.jpg?v=1743825490&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_Sole_Spring2025_Lakai.jpg?v=1743825500&width=1000, https://www.lakai.com/cdn/shop/files/Owen_VLK_Light_Grey_Suede_MS1250232A00_Lifestyle_Portrait_Liam_Cavanaugh_4_1_1.jpg?v=1743825451&width=1000","The Light Grey Suede Owen sets out to be the most skate-friendly slip-on in the business, but easily transcends strictly skateboarding. The ultra-fitted upper is ideal for the rigors of every day use and the crafted midsole with lux-lite insole provide extreme cushion and comfort. Details include striped, nylon webbed hit at tongue and heel, cover stitched/perfed toe panel highlight and flare at rear heel. Slip into satisfaction!",https://www.lakai.com/products/owen-vlk-light-grey-suede-ms1250232a00,owen-vlk-light-grey-suede-ms1250232a00
shoes,Telford Low,: BLACK/TECH SUEDE,$84.95,"https://www.lakai.com/cdn/shop/files/Telford_Low_Black_Tech_Suede_Main_Spring2025_Lakai.jpg?v=1743825998&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Black_Low_Suede_Side_Spring2025_Lakai.jpg?v=1743826021&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Black_Low_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743826032&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Black_Low_Suede_Top_Spring2025_Lakai.jpg?v=1743826043&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Black_Low_Suede_Sole_Spring2025_Lakai.jpg?v=1743826053&width=1000","The Telford low is built on our durable XLK cupsole with “pod” tread grip. Lightweight, flexible and comfortable right out of the box. Timeless silhouette designed for skateboarding.",https://www.lakai.com/products/telford-low-black-tech-suede-ms1250262b00,telford-low-black-tech-suede-ms1250262b00
shoes,Telford Low,: ROSE SUEDE,$84.95,"https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_Main_Spring2025_Lakai.jpg?v=1743826128&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_ms1250262800_Lifestyle__Skateboard_Portrait_25Q1_Max_McGuire_1_1_2.jpg?v=1743835984&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_UpperMedial_Spring2025_Lakai.jpg?v=1743835984&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_Top_Spring2025_Lakai.jpg?v=1744877234&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_Sole_Spring2025_Lakai.jpg?v=1744877234&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_Rose_Suede_Side_Spring2025_Lakai.jpg?v=1744877233&width=1000","The Rose Telford low is built on our durable XLK cupsole with “pod” tread grip. Lightweight, flexible and comfortable right out of the box. Timeless silhouette designed for skateboarding.",https://www.lakai.com/products/telford-low-rose-suede-ms1250262b00,telford-low-rose-suede-ms1250262b00
shoes,Telford Low,: WHITE/BLACK LEATHER,$84.95,"https://www.lakai.com/cdn/shop/files/Telford_Low_White_Black_Leather_Main_Spring2025_Lakai.jpg?v=1743826289&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_White_Black_Leather_Side_Spring2025_Lakai.jpg?v=1743826303&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_White_Black_Leather_UpperMedial_Spring2025_Lakai.jpg?v=1743826315&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_White_Black_Leather_Top_Spring2025_Lakai.jpg?v=1743826328&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low_White_Black_Leather_Sole_Spring2025_Lakai.jpg?v=1743826337&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low__White_Black_Suede_MS1250262B00_Lifestyle_Portrait_Liam_Cavanaugh_12_2_1.jpg?v=1743826289&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low__White_Black_Suede_MS1250262B00_Lifestyle_Portrait_Liam_Cavanaugh_19_1_1.jpg?v=1743826289&width=1000, https://www.lakai.com/cdn/shop/files/Telford_Low__White_Black_Suede_MS1250262B00_Lifestyle_Portrait_Liam_Cavanaugh_22_1_1.jpg?v=1743826289&width=1000","The Telford low is built on our durable XLK cupsole with “pod” tread grip. Lightweight, flexible and comfortable right out of the box. Timeless silhouette designed for skateboarding.",https://www.lakai.com/products/telford-low-white-black-leather-ms1250262b00,telford-low-white-black-leather-ms1250262b00
